"","curl1","curl2","curl3","strait1","strait2","strait3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"1110004E09Rik",3.16238573641894,4.89700584952483,3.26038013454017,0,0,0,1.88662862008066,4.26071241026858,1.9352142760093,2.20167475151889,0.0276882914548248,0.0683321276554886,"1110004E09Rik",NA
"1110004F10Rik",1.05412857880631,3.67275438714363,1.08679337818006,0,0,0,0.968946057354999,3.28136665668919,2.44432763662817,1.34244141722984,0.179452913218088,NA,"1110004F10Rik","56372"
"1110006O24Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1110006O24Rik","66123"
"1110007C09Rik",0.527064289403157,0,0,0,0,0,0.0878440482338595,0.648704840267485,4.07237813541102,0.15929386189036,0.873437356515855,NA,"1110007C09Rik",NA
"1110008F13Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1110008F13Rik",NA
"1110008L16Rik",13.1766072350789,4.89700584952483,10.8679337818006,0,0,0,4.82359114440072,5.64030530039273,1.58057079677976,3.56852430266599,0.000358997558734553,0.00185838150892248,"1110008L16Rik",NA
"1110008P14Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1110008P14Rik","73737"
"1110012L19Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1110012L19Rik","68618"
"1110015O18Rik",0,0,2.17358675636011,0,0,0,0.362264459393352,1.86231285087906,4.02175522411696,0.463059720718821,0.643321560630684,NA,"1110015O18Rik","100503859"
"1110017D15Rik",0,0,0,6.70719209177163,3.39661689419212,4.43139706075981,2.42253434112059,-4.89411947752423,1.82427967387856,-2.68276818933083,0.00730155817149177,0.0234020342240624,"1110017D15Rik","73721"
"1110019D14Rik",6.32477147283789,37.9517953338175,21.7358675636011,1.91634059764904,2.26441126279475,2.21569853037991,12.06814746018,3.34779932686743,0.989023803923155,3.38495323731111,0.000711903814789581,0.00338473265347089,"1110019D14Rik","76311"
"1110020A21Rik",0,0,0,0,0,1.10784926518995,0.184641544198325,-1.22082899275181,4.0804728567969,-0.299188117553156,0.764796515123686,NA,"1110020A21Rik","68531"
"1110025L11Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1110025L11Rik","68637"
"1110028F11Rik",0,0,0,0,0,1.10784926518995,0.184641544198325,-1.22082899275181,4.0804728567969,-0.299188117553156,0.764796515123686,NA,"1110028F11Rik","68690"
"1110028F18Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1110028F18Rik","68692"
"1110032A03Rik",5.27064289403157,8.56976023666846,4.34717351272023,3.83268119529807,3.39661689419212,6.64709559113972,5.34399505400836,0.376841137955992,0.96493575467654,0.390534951295607,0.696141015601111,0.77934892473457,"1110032A03Rik","68721"
"1110032F04Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1110032F04Rik","68725"
"1110034G24Rik",658.830361753946,1205.88769044549,1384.57476380139,773.243431151386,919.350972694668,525.120551700038,911.167961924487,0.550280174104078,0.435565122792416,1.26337060822552,0.206456021821362,0.313569672759166,"1110034G24Rik",NA
"1110036E04Rik",0.527064289403157,0,0,0,0,0,0.0878440482338595,0.648704840267485,4.07237813541102,0.15929386189036,0.873437356515855,NA,"1110036E04Rik","68697"
"1110037F02Rik",14.2307358138852,12.2425146238121,9.78114040362051,5.74902179294711,13.5864675767685,8.86279412151962,10.7421123887588,0.382173475279369,0.738416508515795,0.517558140794457,0.604766593692142,0.703597890999394,"1110037F02Rik",NA
"1110038B12Rik",0,0,0,0,1.13220563139737,0,0.188700938566229,-1.22082899275181,4.0804728567969,-0.299188117553156,0.764796515123686,NA,"1110038B12Rik","68763"
"1110038F14Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1110038F14Rik","117171"
"1110046J04Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1110046J04Rik","68808"
"1110051M20Rik",0.527064289403157,0,1.08679337818006,0,0,0,0.268976277930536,1.5064474012501,4.04752636879618,0.372189644733099,0.709751655486567,NA,"1110051M20Rik","228356"
"1110058D11Rik",1.05412857880631,0,0,5.74902179294711,0,5.53924632594976,2.05706611628386,-3.00478607652692,2.01636008668494,-1.49020311221644,0.13617083832591,0.229045004963474,"1110058D11Rik","68771"
"1110059E24Rik",3.16238573641894,0,0,0.958170298824518,0,3.32354779556986,1.24068397180222,-0.300348518237947,2.30700067275517,-0.130190043628922,0.896416071571254,NA,"1110059E24Rik","66206"
"1110059G10Rik",8.43302863045051,17.1395204733369,6.52076026908034,0.958170298824518,4.5288225255895,3.32354779556986,6.81730833214194,1.87178053471716,0.995227646713361,1.88075616759495,0.0600050952364209,0.123113757414176,"1110059G10Rik","66202"
"1110065P20Rik",0,0,1.08679337818006,0,0,0,0.181132229696676,0.809987487622326,4.06699204282385,0.199161316052127,0.84213655851987,NA,"1110065P20Rik","68920"
"1190002F15Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1190002F15Rik",NA
"1190002N15Rik",5.27064289403157,9.79401169904967,4.34717351272023,0,2.26441126279475,3.32354779556986,4.16663119402768,1.81363936157354,1.24196716556728,1.46029574038307,0.144208812237925,0.239340618621967,"1190002N15Rik",NA
